car_name,model,Mileage,Year,Condition,Price
Acura,MDX,221505.0,2009,Foreign Used,4215000
Toyota,Camry,176996.0,2012,Foreign Used,4865000
Toyota,Highlander,74479.0,2013,Foreign Used,8815000
Toyota,Camry,116368.2,2010,Foreign Used,4865000
Toyota,Corolla,134462.0,2008,Foreign Used,2815000
Toyota,Highlander,20820.0,2016,Foreign Used,15015000
Toyota,Prado,69601.0,2012,Locally Used,25015000
Kia,Forte,82310.0,2010,Foreign Used,3515000
Lexus,GX,250414.9,2005,Foreign Used,5815000
Lexus,LX,31504.0,2017,Locally Used,42515000
Lexus,ES,370921.0,2007,Foreign Used,4415000
Lexus,ES,194550.0,2008,Foreign Used,4645000
Toyota,Sienna,68326.0,2011,Foreign Used,5515000
Audi,Q7,201050.0,2008,Foreign Used,5685000
Lexus,RX,118888.0,2007,Foreign Used,5115000
Lexus,RX,137471.0,2010,Foreign Used,7765000
Mercedes-Benz,C,857506.0,2010,Foreign Used,5315000
Lexus,ES,72443.0,2011,Foreign Used,50015000
Toyota,Highlander,68453.0,2013,Foreign Used,5015000
Lexus,RX,57451.0,2004,Foreign Used,7115000
Mercedes-Benz,GLK,165901.0,2012,Foreign Used,4815000
Toyota,Sienna,68208.0,2012,Foreign Used,8265000
Lexus,RX,203162.0,2010,Foreign Used,8265000
Lexus,RX,109763.4,2013,Foreign Used,10725000
Mercedes-Benz,ML,243717.0,2012,Foreign Used,11315000
Toyota,RAV,83554.0,2013,Foreign Used,8015000
Toyota,Corolla,63380.0,2016,Foreign Used,7015000
Hyundai,Santa,146372.0,2013,Foreign Used,8515000
Lexus,ES,98219.0,2013,Foreign Used,9015000
Toyota,Highlander,48415.0,2016,Foreign Used,13515000
Mercedes-Benz,C,91406.0,2014,Foreign Used,13015000
Mercedes-Benz,C,48013.0,2015,Foreign Used,13015000
Toyota,Camry,72283.0,2012,Foreign Used,5015000
Lexus,LX,35751.0,2011,Foreign Used,30015000
Toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
Pontiac,Vibe,193892.0,2006,Foreign Used,2515000
Toyota,Camry,282613.0,2006,Foreign Used,2797500
Toyota,Corolla,71584.0,2015,Foreign Used,6515000
Toyota,Camry,112019.0,2012,Foreign Used,5680000
Toyota,Camry,98697.0,2015,Foreign Used,8770000
Toyota,Highlander,106800.0,2013,Foreign Used,9285000
Lexus,LX,21204.0,2018,Foreign Used,6215000
Toyota,Camry,140309.0,2013,Foreign Used,9315000
Toyota,Venza,172709.0,2013,Foreign Used,4765000
Mercedes-Benz,C,114936.0,2010,Foreign Used,8265000
Toyota,Lexus,123938.5,2012,Foreign Used,8265000
Toyota,Venza,96091.0,2013,Foreign Used,8265000
Toyota,Camry,75422.0,2009,Foreign Used,10725000
Acura,MDX,221505.0,2009,Foreign Used,4215000
Toyota,Camry,176996.0,2012,Foreign Used,4865000
Toyota,Highlander,74479.0,2013,Foreign Used,8815000
Toyota,Camry,116368.2,2010,Foreign Used,4865000
Toyota,Corolla,134462.0,2008,Foreign Used,2815000
Toyota,Highlander,20820.0,2016,Foreign Used,15015000
Toyota,Prado,69601.0,2012,Locally Used,25015000
Kia,Forte,82310.0,2010,Foreign Used,3515000
Lexus,GX,250414.9,2005,Foreign Used,5815000
Lexus,LX,31504.0,2017,Locally Used,42515000
Lexus,ES,370921.0,2007,Foreign Used,4415000
Lexus,ES,194550.0,2008,Foreign Used,4645000
Toyota,Sienna,68326.0,2011,Foreign Used,5515000
Audi,Q7,201050.0,2008,Foreign Used,5685000
Lexus,RX,118888.0,2007,Foreign Used,5115000
Lexus,RX,137471.0,2010,Foreign Used,7765000
Mercedes-Benz,C,857506.0,2010,Foreign Used,5315000
Lexus,ES,72443.0,2011,Foreign Used,50015000
Toyota,Highlander,68453.0,2013,Foreign Used,5015000
Lexus,RX,57451.0,2004,Foreign Used,7115000
Mercedes-Benz,GLK,165901.0,2012,Foreign Used,4815000
Toyota,Sienna,68208.0,2012,Foreign Used,8515000
Lexus,RX,203162.0,2010,Foreign Used,7615000
Lexus,RX,109763.4,2013,Foreign Used,3515000
Mercedes-Benz,ML,243717.0,2012,Foreign Used,4215000
Toyota,RAV,83554.0,2013,Foreign Used,4865000
Toyota,Corolla,63380.0,2016,Foreign Used,7015000
Hyundai,Santa,146372.0,2013,Foreign Used,8515000
Lexus,ES,98219.0,2013,Foreign Used,9015000
Toyota,Highlander,48415.0,2016,Foreign Used,13515000
Mercedes-Benz,C,91406.0,2014,Foreign Used,13015000
Mercedes-Benz,C,48013.0,2015,Foreign Used,13015000
Toyota,Camry,72283.0,2012,Foreign Used,5015000
Lexus,LX,35751.0,2011,Foreign Used,30015000
Toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
Pontiac,Vibe,193892.0,2006,Foreign Used,2515000
Toyota,Camry,282613.0,2006,Foreign Used,2797500
Toyota,Corolla,71584.0,2015,Foreign Used,6515000
Toyota,Camry,112019.0,2012,Foreign Used,5680000
Toyota,Camry,98697.0,2015,Foreign Used,8770000
Toyota,Highlander,106800.0,2013,Foreign Used,9285000
Lexus,LX,21204.0,2018,Foreign Used,6215000
Toyota,Camry,140309.0,2013,Foreign Used,9315000
Toyota,Venza,172709.0,2013,Foreign Used,4765000
Mercedes-Benz,C,114936.0,2010,Foreign Used,8265000
Toyota,Lexus,123938.5,2012,Foreign Used,8265000
Toyota,Venza,96091.0,2013,Foreign Used,8265000
Toyota,Camry,75422.0,2009,Foreign Used,3515000
Acura,MDX,221505.0,2009,Foreign Used,4215000
Toyota,Camry,176996.0,2012,Foreign Used,4865000
Toyota,Highlander,74479.0,2013,Foreign Used,8815000
Toyota,Camry,116368.2,2010,Foreign Used,4865000
Toyota,Corolla,134462.0,2008,Foreign Used,2815000
Toyota,Highlander,20820.0,2016,Foreign Used,15015000
Toyota,Prado,69601.0,2012,Locally Used,25015000
Kia,Forte,82310.0,2010,Foreign Used,3515000
Lexus,GX,250414.9,2005,Foreign Used,5815000
Lexus,LX,31504.0,2017,Locally Used,42515000
Lexus,ES,370921.0,2007,Foreign Used,4415000
Lexus,ES,194550.0,2008,Foreign Used,4645000
Toyota,Sienna,68326.0,2011,Foreign Used,5515000
Audi,Q7,201050.0,2008,Foreign Used,5685000
Lexus,RX,118888.0,2007,Foreign Used,5115000
Lexus,RX,137471.0,2010,Foreign Used,7765000
Mercedes-Benz,C,857506.0,2010,Foreign Used,5315000
Lexus,ES,72443.0,2011,Foreign Used,50015000
Toyota,Highlander,68453.0,2013,Foreign Used,5015000
Lexus,RX,57451.0,2004,Foreign Used,7115000
Mercedes-Benz,GLK,165901.0,2012,Foreign Used,4815000
Toyota,Sienna,68208.0,2012,Foreign Used,8515000
Lexus,RX,203162.0,2010,Foreign Used,7615000
Lexus,RX,109763.4,2013,Foreign Used,3515000
Mercedes-Benz,ML,243717.0,2012,Foreign Used,11315000
Toyota,RAV,83554.0,2013,Foreign Used,8015000
Toyota,Corolla,63380.0,2016,Foreign Used,7015000
Hyundai,Santa,146372.0,2013,Foreign Used,8515000
Lexus,ES,98219.0,2013,Foreign Used,9015000
Toyota,Highlander,48415.0,2016,Foreign Used,13515000
Mercedes-Benz,C,91406.0,2014,Foreign Used,13015000
Mercedes-Benz,C,48013.0,2015,Foreign Used,13015000
Toyota,Camry,72283.0,2012,Foreign Used,5015000
Lexus,LX,35751.0,2011,Foreign Used,30015000
Toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
Pontiac,Vibe,193892.0,2006,Foreign Used,2515000
Toyota,Camry,282613.0,2006,Foreign Used,2797500
Toyota,Corolla,71584.0,2015,Foreign Used,6515000
Toyota,Camry,112019.0,2012,Foreign Used,5680000
Toyota,Camry,98697.0,2015,Foreign Used,8770000
Toyota,Highlander,106800.0,2013,Foreign Used,9285000
Lexus,LX,21204.0,2018,Foreign Used,6215000
Toyota,Camry,140309.0,2013,Foreign Used,9315000
Toyota,Venza,172709.0,2013,Foreign Used,4765000
Mercedes-Benz,C,114936.0,2010,Foreign Used,4815000
Toyota,Lexus,123938.5,2012,Foreign Used,8515000
Toyota,Venza,96091.0,2013,Foreign Used,7615000
Toyota,Camry,75422.0,2009,Foreign Used,3515000
Acura,MDX,221505.0,2009,Foreign Used,4215000
Toyota,Camry,176996.0,2012,Foreign Used,4865000
Toyota,Highlander,74479.0,2013,Foreign Used,8815000
Toyota,Camry,116368.2,2010,Foreign Used,4865000
Toyota,Corolla,134462.0,2008,Foreign Used,2815000
Toyota,Highlander,20820.0,2016,Foreign Used,15015000
Toyota,Prado,69601.0,2012,Locally Used,25015000
Kia,Forte,82310.0,2010,Foreign Used,3515000
Lexus,GX,250414.9,2005,Foreign Used,5815000
Lexus,LX,31504.0,2017,Locally Used,42515000
Lexus,ES,370921.0,2007,Foreign Used,4415000
Lexus,ES,194550.0,2008,Foreign Used,4645000
Toyota,Sienna,68326.0,2011,Foreign Used,5515000
Audi,Q7,201050.0,2008,Foreign Used,5685000
Lexus,RX,118888.0,2007,Foreign Used,5115000
Lexus,RX,137471.0,2010,Foreign Used,7765000
Mercedes-Benz,C,857506.0,2010,Foreign Used,5315000
Lexus,ES,72443.0,2011,Foreign Used,50015000
Toyota,Highlander,68453.0,2013,Foreign Used,5015000
Lexus,RX,57451.0,2004,Foreign Used,7115000
Mercedes-Benz,GLK,165901.0,2012,Foreign Used,4815000
Toyota,Sienna,68208.0,2012,Foreign Used,8265000
Lexus,RX,203162.0,2010,Foreign Used,8265000
Lexus,RX,109763.4,2013,Foreign Used,10725000
Mercedes-Benz,ML,243717.0,2012,Foreign Used,11315000
Toyota,RAV,83554.0,2013,Foreign Used,8015000
Toyota,Corolla,63380.0,2016,Foreign Used,7015000
Hyundai,Santa,146372.0,2013,Foreign Used,8515000
Lexus,ES,98219.0,2013,Foreign Used,9015000
Toyota,Highlander,48415.0,2016,Foreign Used,13515000
Mercedes-Benz,C,91406.0,2014,Foreign Used,13015000
Mercedes-Benz,C,48013.0,2015,Foreign Used,13015000
Toyota,Camry,72283.0,2012,Foreign Used,5015000
Lexus,LX,35751.0,2011,Foreign Used,30015000
Toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
Pontiac,Vibe,193892.0,2006,Foreign Used,2515000
Toyota,Camry,282613.0,2006,Foreign Used,2797500
Toyota,Corolla,71584.0,2015,Foreign Used,6515000
Toyota,Camry,112019.0,2012,Foreign Used,5680000
Toyota,Camry,98697.0,2015,Foreign Used,8770000
Toyota,Highlander,106800.0,2013,Foreign Used,9285000
Lexus,LX,21204.0,2018,Foreign Used,6215000
Toyota,Camry,140309.0,2013,Foreign Used,9315000
Toyota,Venza,172709.0,2013,Foreign Used,4765000
Mercedes-Benz,C,114936.0,2010,Foreign Used,8265000
Toyota,Lexus,123938.5,2012,Foreign Used,8265000
Toyota,Venza,96091.0,2013,Foreign Used,8265000
Toyota,Camry,75422.0,2009,Foreign Used,3515000
Acura,MDX,221505.0,2009,Foreign Used,4215000
Toyota,Camry,176996.0,2012,Foreign Used,4865000
Toyota,Highlander,74479.0,2013,Foreign Used,8815000
Toyota,Camry,116368.2,2010,Foreign Used,4865000
Toyota,Corolla,134462.0,2008,Foreign Used,2815000
Toyota,Highlander,20820.0,2016,Foreign Used,15015000
Toyota,Prado,69601.0,2012,Locally Used,25015000
Kia,Forte,82310.0,2010,Foreign Used,3515000
Lexus,GX,250414.9,2005,Foreign Used,5815000
Lexus,LX,31504.0,2017,Locally Used,42515000
Lexus,ES,370921.0,2007,Foreign Used,4415000
Lexus,ES,194550.0,2008,Foreign Used,4645000
Toyota,Sienna,68326.0,2011,Foreign Used,5515000
Audi,Q7,201050.0,2008,Foreign Used,5685000
Lexus,RX,118888.0,2007,Foreign Used,5115000
Lexus,RX,137471.0,2010,Foreign Used,7765000
Mercedes-Benz,C,857506.0,2010,Foreign Used,5315000
Lexus,ES,72443.0,2011,Foreign Used,50015000
Toyota,Highlander,68453.0,2013,Foreign Used,5015000
Lexus,RX,57451.0,2004,Foreign Used,7115000
Mercedes-Benz,GLK,165901.0,2012,Foreign Used,4815000
Toyota,Sienna,68208.0,2012,Foreign Used,8515000
Lexus,RX,203162.0,2010,Foreign Used,7615000
Lexus,RX,109763.4,2013,Foreign Used,10725000
Mercedes-Benz,ML,243717.0,2012,Foreign Used,11315000
Toyota,RAV,83554.0,2013,Foreign Used,8015000
Toyota,Corolla,63380.0,2016,Foreign Used,7015000
Hyundai,Santa,146372.0,2013,Foreign Used,8515000
Lexus,ES,98219.0,2013,Foreign Used,9015000
Toyota,Highlander,48415.0,2016,Foreign Used,13515000
Mercedes-Benz,C,91406.0,2014,Foreign Used,13015000
Mercedes-Benz,C,48013.0,2015,Foreign Used,13015000
Toyota,Camry,72283.0,2012,Foreign Used,5015000
Lexus,LX,35751.0,2011,Foreign Used,30015000
Toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
Pontiac,Vibe,193892.0,2006,Foreign Used,2515000
Toyota,Camry,282613.0,2006,Foreign Used,2797500
Toyota,Corolla,71584.0,2015,Foreign Used,6515000
Toyota,Camry,112019.0,2012,Foreign Used,5680000
Toyota,Camry,98697.0,2015,Foreign Used,8770000
Toyota,Highlander,106800.0,2013,Foreign Used,9285000
Lexus,LX,21204.0,2018,Foreign Used,6215000
Toyota,Camry,140309.0,2013,Foreign Used,9315000
Toyota,Venza,172709.0,2013,Foreign Used,4765000
Mercedes-Benz,C,114936.0,2010,Foreign Used,4815000
Toyota,Lexus,123938.5,2012,Foreign Used,8515000
Toyota,Venza,96091.0,2013,Foreign Used,7615000
Toyota,Camry,75422.0,2009,Foreign Used,3515000
Acura,MDX,221505.0,2009,Foreign Used,4215000
Toyota,Camry,176996.0,2012,Foreign Used,4865000
Toyota,Highlander,74479.0,2013,Foreign Used,8815000
Toyota,Camry,116368.2,2010,Foreign Used,4865000
Toyota,Corolla,134462.0,2008,Foreign Used,2815000
Toyota,Highlander,20820.0,2016,Foreign Used,15015000
Toyota,Prado,69601.0,2012,Locally Used,25015000
Kia,Forte,82310.0,2010,Foreign Used,3515000
Lexus,GX,250414.9,2005,Foreign Used,5815000
Lexus,LX,31504.0,2017,Locally Used,42515000
Lexus,ES,370921.0,2007,Foreign Used,4415000
Lexus,ES,194550.0,2008,Foreign Used,4645000
Toyota,Sienna,68326.0,2011,Foreign Used,5515000
Audi,Q7,201050.0,2008,Foreign Used,5685000
Lexus,RX,118888.0,2007,Foreign Used,5115000
Lexus,RX,137471.0,2010,Foreign Used,7765000
Mercedes-Benz,C,857506.0,2010,Foreign Used,5315000
Lexus,ES,72443.0,2011,Foreign Used,50015000
Toyota,Highlander,68453.0,2013,Foreign Used,5015000
Lexus,RX,57451.0,2004,Foreign Used,7115000
Mercedes-Benz,GLK,165901.0,2012,Foreign Used,8265000
Toyota,Sienna,68208.0,2012,Foreign Used,8265000
Lexus,RX,203162.0,2010,Foreign Used,8265000
Lexus,RX,109763.4,2013,Foreign Used,10725000
Mercedes-Benz,ML,243717.0,2012,Foreign Used,11315000
Toyota,RAV,83554.0,2013,Foreign Used,8015000
Toyota,Corolla,63380.0,2016,Foreign Used,7015000
Hyundai,Santa,146372.0,2013,Foreign Used,8515000
Lexus,ES,98219.0,2013,Foreign Used,9015000
Toyota,Highlander,48415.0,2016,Foreign Used,13515000
Mercedes-Benz,C,91406.0,2014,Foreign Used,13015000
Mercedes-Benz,C,48013.0,2015,Foreign Used,13015000
Toyota,Camry,72283.0,2012,Foreign Used,5015000
Lexus,LX,35751.0,2011,Foreign Used,30015000
Toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
Pontiac,Vibe,193892.0,2006,Foreign Used,2515000
Toyota,Camry,282613.0,2006,Foreign Used,2797500
Toyota,Corolla,71584.0,2015,Foreign Used,6515000
Toyota,Camry,112019.0,2012,Foreign Used,5680000
Toyota,Camry,98697.0,2015,Foreign Used,8770000
Toyota,Highlander,106800.0,2013,Foreign Used,9285000
Lexus,LX,21204.0,2018,Foreign Used,6215000
Toyota,Camry,140309.0,2013,Foreign Used,9315000
Toyota,Venza,172709.0,2013,Foreign Used,4765000
Mercedes-Benz,C,114936.0,2010,Foreign Used,8265000
Toyota,Lexus,123938.5,2012,Foreign Used,8265000
Toyota,Venza,96091.0,2013,Foreign Used,8265000
Toyota,Camry,75422.0,2009,Foreign Used,10725000
Acura,MDX,221505.0,2009,Foreign Used,4215000
Toyota,Camry,176996.0,2012,Foreign Used,4865000
Toyota,Highlander,74479.0,2013,Foreign Used,8815000
Toyota,Camry,116368.2,2010,Foreign Used,4865000
Toyota,Corolla,134462.0,2008,Foreign Used,2815000
Toyota,Highlander,20820.0,2016,Foreign Used,15015000
Toyota,Prado,69601.0,2012,Locally Used,25015000
Kia,Forte,82310.0,2010,Foreign Used,3515000
Lexus,GX,250414.9,2005,Foreign Used,5815000
Lexus,LX,31504.0,2017,Locally Used,42515000
Lexus,ES,370921.0,2007,Foreign Used,4415000
Lexus,ES,194550.0,2008,Foreign Used,4645000
Toyota,Sienna,68326.0,2011,Foreign Used,5515000
Audi,Q7,201050.0,2008,Foreign Used,5685000
Lexus,RX,118888.0,2007,Foreign Used,5115000
Lexus,RX,137471.0,2010,Foreign Used,7765000
Mercedes-Benz,C,857506.0,2010,Foreign Used,5315000
Lexus,ES,72443.0,2011,Foreign Used,50015000
Toyota,Highlander,68453.0,2013,Foreign Used,5015000
Lexus,RX,57451.0,2004,Foreign Used,7115000
Mercedes-Benz,GLK,165901.0,2012,Foreign Used,4815000
Toyota,Sienna,68208.0,2012,Foreign Used,8265000
Lexus,RX,203162.0,2010,Foreign Used,8265000
Lexus,RX,109763.4,2013,Foreign Used,10725000
Mercedes-Benz,ML,243717.0,2012,Foreign Used,11315000
Toyota,RAV,83554.0,2013,Foreign Used,8015000
Toyota,Corolla,63380.0,2016,Foreign Used,7015000
Hyundai,Santa,146372.0,2013,Foreign Used,8515000
Lexus,ES,98219.0,2013,Foreign Used,9015000
Toyota,Highlander,48415.0,2016,Foreign Used,13515000
Mercedes-Benz,C,91406.0,2014,Foreign Used,13015000
Mercedes-Benz,C,48013.0,2015,Foreign Used,13015000
Toyota,Camry,72283.0,2012,Foreign Used,5015000
Lexus,LX,35751.0,2011,Foreign Used,30015000
Toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
Pontiac,Vibe,193892.0,2006,Foreign Used,2515000
Toyota,Camry,282613.0,2006,Foreign Used,2797500
Toyota,Corolla,71584.0,2015,Foreign Used,6515000
Toyota,Camry,112019.0,2012,Foreign Used,5680000
Toyota,Camry,98697.0,2015,Foreign Used,8770000
Toyota,Highlander,106800.0,2013,Foreign Used,9285000
Lexus,LX,21204.0,2018,Foreign Used,6215000
Toyota,Camry,140309.0,2013,Foreign Used,9315000
Toyota,Venza,172709.0,2013,Foreign Used,4765000
Mercedes-Benz,C,114936.0,2010,Foreign Used,8265000
Toyota,Lexus,123938.5,2012,Foreign Used,8265000
Toyota,Venza,96091.0,2013,Foreign Used,7615000
Toyota,Camry,75422.0,2009,Foreign Used,3515000
Acura,MDX,221505.0,2009,Foreign Used,4215000
Toyota,Camry,176996.0,2012,Foreign Used,4865000
Toyota,Highlander,74479.0,2013,Foreign Used,8815000
Toyota,Camry,116368.2,2010,Foreign Used,4865000
Toyota,Corolla,134462.0,2008,Foreign Used,2815000
Toyota,Highlander,20820.0,2016,Foreign Used,15015000
Toyota,Prado,69601.0,2012,Locally Used,25015000
Kia,Forte,82310.0,2010,Foreign Used,3515000
Lexus,GX,250414.9,2005,Foreign Used,5815000
Lexus,LX,31504.0,2017,Locally Used,42515000
Lexus,ES,370921.0,2007,Foreign Used,4415000
Lexus,ES,194550.0,2008,Foreign Used,4645000
Toyota,Sienna,68326.0,2011,Foreign Used,5515000
Audi,Q7,201050.0,2008,Foreign Used,5685000
Lexus,RX,118888.0,2007,Foreign Used,5115000
Lexus,RX,137471.0,2010,Foreign Used,7765000
Mercedes-Benz,C,857506.0,2010,Foreign Used,5315000
Lexus,ES,72443.0,2011,Foreign Used,50015000
Toyota,Highlander,68453.0,2013,Foreign Used,5015000
Lexus,RX,57451.0,2004,Foreign Used,7115000
Mercedes-Benz,GLK,165901.0,2012,Foreign Used,4815000
Toyota,Sienna,68208.0,2012,Foreign Used,8265000
Lexus,RX,203162.0,2010,Foreign Used,8265000
Lexus,RX,109763.4,2013,Foreign Used,10725000
Mercedes-Benz,ML,243717.0,2012,Foreign Used,11315000
Toyota,RAV,83554.0,2013,Foreign Used,8015000
Toyota,Corolla,63380.0,2016,Foreign Used,7015000
Hyundai,Santa,146372.0,2013,Foreign Used,8515000
Lexus,ES,98219.0,2013,Foreign Used,9015000
Toyota,Highlander,48415.0,2016,Foreign Used,13515000
Mercedes-Benz,C,91406.0,2014,Foreign Used,13015000
Mercedes-Benz,C,48013.0,2015,Foreign Used,13015000
Toyota,Camry,72283.0,2012,Foreign Used,5015000
Lexus,LX,35751.0,2011,Foreign Used,30015000
Toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
Pontiac,Vibe,193892.0,2006,Foreign Used,2515000
Toyota,Camry,282613.0,2006,Foreign Used,2797500
Toyota,Corolla,71584.0,2015,Foreign Used,6515000
Toyota,Camry,112019.0,2012,Foreign Used,5680000
Toyota,Camry,98697.0,2015,Foreign Used,8770000
Toyota,Highlander,106800.0,2013,Foreign Used,9285000
Lexus,LX,21204.0,2018,Foreign Used,6215000
Toyota,Camry,140309.0,2013,Foreign Used,9315000
Toyota,Venza,172709.0,2013,Foreign Used,4765000
Mercedes-Benz,C,114936.0,2010,Foreign Used,8265000
Toyota,Lexus,123938.5,2012,Foreign Used,8265000
Toyota,Venza,96091.0,2013,Foreign Used,8265000
Toyota,Camry,75422.0,2009,Foreign Used,3515000
Acura,MDX,221505.0,2009,Foreign Used,4215000
Toyota,Camry,176996.0,2012,Foreign Used,4865000
Toyota,Highlander,74479.0,2013,Foreign Used,8815000
Toyota,Camry,116368.2,2010,Foreign Used,4865000
Toyota,Corolla,134462.0,2008,Foreign Used,2815000
Toyota,Highlander,20820.0,2016,Foreign Used,15015000
Toyota,Prado,69601.0,2012,Locally Used,25015000
Kia,Forte,82310.0,2010,Foreign Used,3515000
Lexus,GX,250414.9,2005,Foreign Used,5815000
Lexus,LX,31504.0,2017,Locally Used,42515000
Lexus,ES,370921.0,2007,Foreign Used,4415000
Lexus,ES,194550.0,2008,Foreign Used,4645000
Toyota,Sienna,68326.0,2011,Foreign Used,5515000
Audi,Q7,201050.0,2008,Foreign Used,5685000
Lexus,RX,118888.0,2007,Foreign Used,5115000
Lexus,RX,137471.0,2010,Foreign Used,7765000
Mercedes-Benz,C,857506.0,2010,Foreign Used,5315000
Lexus,ES,72443.0,2011,Foreign Used,50015000
Toyota,Highlander,68453.0,2013,Foreign Used,5015000
Lexus,RX,57451.0,2004,Foreign Used,7115000
Mercedes-Benz,GLK,165901.0,2012,Foreign Used,4815000
Toyota,Sienna,68208.0,2012,Foreign Used,8515000
Lexus,RX,203162.0,2010,Foreign Used,7615000
Lexus,RX,109763.4,2013,Foreign Used,3515000
Mercedes-Benz,ML,243717.0,2012,Foreign Used,4215000
Toyota,RAV,83554.0,2013,Foreign Used,8015000
Toyota,Corolla,63380.0,2016,Foreign Used,7015000
Hyundai,Santa,146372.0,2013,Foreign Used,8515000
Lexus,ES,98219.0,2013,Foreign Used,9015000
Toyota,Highlander,48415.0,2016,Foreign Used,13515000
Mercedes-Benz,C,91406.0,2014,Foreign Used,13015000
Mercedes-Benz,C,48013.0,2015,Foreign Used,13015000
Toyota,Camry,72283.0,2012,Foreign Used,5015000
Lexus,LX,35751.0,2011,Foreign Used,30015000
Toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
Pontiac,Vibe,193892.0,2006,Foreign Used,2515000
Toyota,Camry,282613.0,2006,Foreign Used,2797500
Toyota,Corolla,71584.0,2015,Foreign Used,6515000
Toyota,Camry,112019.0,2012,Foreign Used,5680000
Toyota,Camry,98697.0,2015,Foreign Used,8770000
Toyota,Highlander,106800.0,2013,Foreign Used,9285000
Lexus,LX,21204.0,2018,Foreign Used,6215000
Toyota,Camry,140309.0,2013,Foreign Used,9315000
Toyota,Venza,172709.0,2013,Foreign Used,4765000
Mercedes-Benz,C,114936.0,2010,Foreign Used,8265000
Toyota,Lexus,123938.5,2012,Foreign Used,8265000
Toyota,Venza,96091.0,2013,Foreign Used,8265000
Toyota,Camry,75422.0,2009,Foreign Used,3515000
Acura,MDX,221505.0,2009,Foreign Used,4215000
Toyota,Camry,176996.0,2012,Foreign Used,4865000
Toyota,Highlander,74479.0,2013,Foreign Used,8815000
Toyota,Camry,116368.2,2010,Foreign Used,4865000
Toyota,Corolla,134462.0,2008,Foreign Used,2815000
Toyota,Highlander,20820.0,2016,Foreign Used,15015000
Toyota,Prado,69601.0,2012,Locally Used,25015000
Kia,Forte,82310.0,2010,Foreign Used,3515000
Lexus,GX,250414.9,2005,Foreign Used,5815000
Lexus,LX,31504.0,2017,Locally Used,42515000
Lexus,ES,370921.0,2007,Foreign Used,4415000
Lexus,ES,194550.0,2008,Foreign Used,4645000
Toyota,Sienna,68326.0,2011,Foreign Used,5515000
Audi,Q7,201050.0,2008,Foreign Used,5685000
Lexus,RX,118888.0,2007,Foreign Used,5115000
Lexus,RX,137471.0,2010,Foreign Used,7765000
Mercedes-Benz,C,857506.0,2010,Foreign Used,5315000
Lexus,ES,72443.0,2011,Foreign Used,50015000
Toyota,Highlander,68453.0,2013,Foreign Used,5015000
Lexus,RX,57451.0,2004,Foreign Used,7115000
Mercedes-Benz,GLK,165901.0,2012,Foreign Used,4815000
Toyota,Sienna,68208.0,2012,Foreign Used,8515000
Lexus,RX,203162.0,2010,Foreign Used,8265000
Lexus,RX,109763.4,2013,Foreign Used,10725000
Mercedes-Benz,ML,243717.0,2012,Foreign Used,11315000
Toyota,RAV,83554.0,2013,Foreign Used,8015000
Toyota,Corolla,63380.0,2016,Foreign Used,7015000
Hyundai,Santa,146372.0,2013,Foreign Used,8515000
Lexus,ES,98219.0,2013,Foreign Used,9015000
Toyota,Highlander,48415.0,2016,Foreign Used,13515000
Mercedes-Benz,C,91406.0,2014,Foreign Used,13015000
Mercedes-Benz,C,48013.0,2015,Foreign Used,13015000
Toyota,Camry,72283.0,2012,Foreign Used,5015000
Lexus,LX,35751.0,2011,Foreign Used,30015000
Toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
Pontiac,Vibe,193892.0,2006,Foreign Used,2515000
Toyota,Camry,282613.0,2006,Foreign Used,2797500
Toyota,Corolla,71584.0,2015,Foreign Used,6515000
Toyota,Camry,112019.0,2012,Foreign Used,5680000
Toyota,Camry,98697.0,2015,Foreign Used,8770000
Toyota,Highlander,106800.0,2013,Foreign Used,9285000
Lexus,LX,21204.0,2018,Foreign Used,6215000
Toyota,Camry,140309.0,2013,Foreign Used,9315000
Toyota,Venza,172709.0,2013,Foreign Used,4765000
Mercedes-Benz,C,114936.0,2010,Foreign Used,8265000
Toyota,Lexus,123938.5,2012,Foreign Used,8265000
Toyota,Venza,96091.0,2013,Foreign Used,8265000
Toyota,Camry,75422.0,2009,Foreign Used,10725000
Acura,MDX,221505.0,2009,Foreign Used,11315000
Toyota,Camry,176996.0,2012,Foreign Used,8015000
Toyota,Highlander,74479.0,2013,Foreign Used,8815000
Toyota,Camry,116368.2,2010,Foreign Used,4865000
Toyota,Corolla,134462.0,2008,Foreign Used,2815000
Toyota,Highlander,20820.0,2016,Foreign Used,15015000
Toyota,Prado,69601.0,2012,Locally Used,25015000
Kia,Forte,82310.0,2010,Foreign Used,3515000
Lexus,GX,250414.9,2005,Foreign Used,5815000
Lexus,LX,31504.0,2017,Locally Used,42515000
Lexus,ES,370921.0,2007,Foreign Used,4415000
Lexus,ES,194550.0,2008,Foreign Used,4645000
